# git commit hash:    b7b33e2 
time    costs    
#
+0.000000e+00    +1.252404e+08    
+2.500000e-01    +1.030388e+08    
+5.000000e-01    +8.035272e+07    
+7.500000e-01    +5.825197e+07    
+1.000000e+00    +3.819284e+07    
+1.250000e+00    +2.204187e+07    
+1.500000e+00    +1.095593e+07    
+1.750000e+00    +4.533874e+06    
+2.000000e+00    +1.646618e+06    
+2.250000e+00    +6.228983e+05    
+2.500000e+00    +3.221203e+05    
+2.750000e+00    +2.278247e+05    
+3.000000e+00    +1.927184e+05    
+3.250000e+00    +1.759273e+05    
+3.500000e+00    +1.633529e+05    
+3.750000e+00    +1.514569e+05    
+4.000000e+00    +1.397495e+05    
+4.250000e+00    +1.291038e+05    
+4.500000e+00    +1.193260e+05    
+4.750000e+00    +1.046202e+05    
+5.000000e+00    +8.179927e+04    
+5.250000e+00    +5.686376e+04    
+5.500000e+00    +3.711627e+04    
+5.750000e+00    +2.623462e+04    
+6.000000e+00    +2.054402e+04    
+6.250000e+00    +1.695650e+04    
+6.500000e+00    +1.346701e+04    
+6.750000e+00    +9.671569e+03    
+7.000000e+00    +5.909392e+03    
+7.250000e+00    +2.931880e+03    
+7.500000e+00    +1.160150e+03    
+7.750000e+00    +3.962638e+02    
+8.000000e+00    +1.600331e+02    
+8.250000e+00    +1.023907e+02    
+8.500000e+00    +8.460373e+01    
+8.750000e+00    +6.732785e+01    
+9.000000e+00    +4.971390e+01    
+9.250000e+00    +3.544391e+01    
+9.500000e+00    +2.466626e+01    
+9.750000e+00    +1.769519e+01    
+1.000000e+01    +1.295157e+01    
+1.025000e+01    +9.307390e+00    
+1.050000e+01    +6.317746e+00    
+1.075000e+01    +4.121338e+00    
+1.100000e+01    +2.579875e+00    
+1.125000e+01    +1.545490e+00    
+1.150000e+01    +9.164010e-01    
+1.175000e+01    +5.943021e-01    
+1.200000e+01    +4.621092e-01    
+1.225000e+01    +3.978511e-01    
+1.250000e+01    +3.145122e-01    
+1.275000e+01    +2.161207e-01    
+1.300000e+01    +1.460817e-01    
+1.325000e+01    +1.050881e-01    
+1.350000e+01    +8.173271e-02    
+1.375000e+01    +6.487577e-02    
+1.400000e+01    +4.952844e-02    
+1.425000e+01    +3.567779e-02    
+1.450000e+01    +2.348724e-02    
+1.475000e+01    +1.384448e-02    
+1.500000e+01    +7.437869e-03    
+1.525000e+01    +4.065066e-03    
+1.550000e+01    +2.727295e-03    
+1.575000e+01    +2.263585e-03    
+1.600000e+01    +1.879303e-03    
+1.625000e+01    +1.370898e-03    
+1.650000e+01    +9.348214e-04    
+1.675000e+01    +6.591155e-04    
+1.700000e+01    +4.921592e-04    
+1.725000e+01    +3.753189e-04    
+1.750000e+01    +2.769817e-04    
+1.775000e+01    +1.949104e-04    
+1.800000e+01    +1.285630e-04    
+1.825000e+01    +7.812958e-05    
+1.850000e+01    +4.420286e-05    
+1.875000e+01    +2.526953e-05    
+1.900000e+01    +1.704155e-05    
+1.925000e+01    +1.411695e-05    
+1.950000e+01    +1.193874e-05    
+1.975000e+01    +8.843618e-06    
+2.000000e+01    +5.963543e-06    
+2.025000e+01    +4.207031e-06    
+2.050000e+01    +3.176297e-06    
+2.075000e+01    +2.468236e-06    
+2.100000e+01    +1.856634e-06    
+2.125000e+01    +1.331183e-06    
+2.150000e+01    +8.876501e-07    
+2.175000e+01    +5.387791e-07    
+2.200000e+01    +2.996623e-07    
+2.225000e+01    +1.655692e-07    
+2.250000e+01    +1.076900e-07    
+2.275000e+01    +8.778590e-08    
+2.300000e+01    +7.434330e-08    
+2.325000e+01    +5.539384e-08    
+2.350000e+01    +3.728558e-08    
+2.375000e+01    +2.606868e-08    
+2.400000e+01    +1.942621e-08    
+2.425000e+01    +1.492838e-08    
+2.450000e+01    +1.117387e-08    
+2.475000e+01    +7.982282e-09    
+2.500000e+01    +5.332945e-09    
+2.525000e+01    +3.267230e-09    
+2.550000e+01    +1.847915e-09    
+2.575000e+01    +1.121650e-09    
+2.600000e+01    +6.831217e-10    
+2.625000e+01    +5.603459e-10    
+2.650000e+01    +4.826336e-10    
+2.675000e+01    +3.801852e-10    
+2.700000e+01    +2.708835e-10    
+2.725000e+01    +1.908832e-10    
+2.750000e+01    +2.012178e-10    
+2.775000e+01    +1.073321e-10    
+2.800000e+01    +8.496775e-11    
+2.825000e+01    +6.289317e-11    
+2.850000e+01    +4.290236e-11    
+2.875000e+01    +2.908790e-11    
+2.900000e+01    +1.627888e-11    
+2.925000e+01    +8.695526e-12    
+2.950000e+01    +4.772645e-12    
+2.975000e+01    +3.235196e-12    
+3.000000e+01    +2.693858e-12    
+3.025000e+01    +3.491761e-12    
+3.050000e+01    +5.660584e-12    
+3.075000e+01    +1.333988e-12    
+3.100000e+01    +6.523385e-12    
+3.125000e+01    +5.730086e-12    
+3.150000e+01    +1.551589e-11    
+3.175000e+01    +1.669554e-11    
+3.200000e+01    +1.686758e-13    
+3.225000e+01    +4.586719e-12    
+3.250000e+01    +5.350933e-12    
+3.275000e+01    +1.345628e-11    
+3.300000e+01    +5.970530e-14    
+3.325000e+01    +7.919914e-14    
+3.350000e+01    +9.242952e-14    
+3.375000e+01    +9.473944e-14    
+3.400000e+01    +1.892084e-14    
+3.425000e+01    +2.482119e-10    
+3.450000e+01    +2.814502e-15    
+3.475000e+01    +1.615305e-11    
+3.500000e+01    +3.360072e-13    
+3.525000e+01    +5.035242e-14    
+3.550000e+01    +3.794696e-14    
+3.575000e+01    +8.017784e-13    
+3.600000e+01    +4.922067e-12    
+3.625000e+01    +9.872036e-14    
+3.650000e+01    +6.101110e-12    
+3.675000e+01    +7.528116e-12    
+3.700000e+01    +5.053401e-15    
+3.725000e+01    +6.558394e-12    
+3.750000e+01    +1.310262e-14    
+3.775000e+01    +1.447764e-14    
+3.800000e+01    +8.957135e-15    
+3.825000e+01    +4.874765e-15    
+3.850000e+01    +1.941479e-10    
+3.875000e+01    +4.322869e-13    
+3.900000e+01    +9.041971e-12    
+3.925000e+01    +9.478310e-12    
+3.950000e+01    +2.765397e-10    
+3.975000e+01    +6.590243e-12    
+4.000000e+01    +2.055221e-11    
+4.025000e+01    +1.425476e-11    
+4.050000e+01    +8.211607e-12    
+4.075000e+01    +1.285898e-14    
+4.100000e+01    +1.098476e-11    
+4.125000e+01    +9.677671e-10    
+4.150000e+01    +6.530631e-12    
+4.175000e+01    +1.547568e-11    
+4.200000e+01    +6.130313e-12    
+4.225000e+01    +2.136256e-12    
+4.250000e+01    +8.536564e-12    
+4.275000e+01    +1.092924e-11    
+4.300000e+01    +1.035267e-11    
+4.325000e+01    +1.534856e-11    
+4.350000e+01    +1.175334e-11    
+4.375000e+01    +1.615228e-11    
+4.400000e+01    +1.868242e-11    
+4.425000e+01    +1.522496e-11    
+4.450000e+01    +2.372530e-11    
+4.475000e+01    +3.025824e-11    
+4.500000e+01    +1.010355e-11    
+4.525000e+01    +6.867899e-12    
+4.550000e+01    +8.642428e-12    
