# git commit hash:    b7b33e2 
time    tau_l    tau_r    
#
+0.000000e+00    -1.330704e-04    +2.000001e-02    
+2.500000e-01    +2.000001e-02    +2.000001e-02    
+5.000000e-01    +2.000001e-02    +2.000001e-02    
+7.500000e-01    +2.000001e-02    +1.915471e-02    
+1.000000e+00    +2.000001e-02    +1.534887e-02    
+1.250000e+00    +2.000001e-02    -1.958629e-03    
+1.500000e+00    +2.000001e-02    +1.593922e-02    
+1.750000e+00    -1.625138e-03    -1.897896e-03    
+2.000000e+00    -2.000001e-02    -1.911879e-02    
+2.250000e+00    -2.000001e-02    -1.920922e-02    
+2.500000e+00    -2.000001e-02    -1.935469e-02    
+2.750000e+00    -2.000001e-02    -1.939097e-02    
+3.000000e+00    -2.000001e-02    -1.943108e-02    
+3.250000e+00    -2.000001e-02    -1.973489e-02    
+3.500000e+00    +6.250313e-03    +6.423185e-03    
+3.750000e+00    +1.973171e-02    +2.000001e-02    
+4.000000e+00    +1.854131e-02    +2.000001e-02    
+4.250000e+00    -1.333404e-02    +5.474918e-05    
+4.500000e+00    -2.000001e-02    -1.883852e-02    
+4.750000e+00    -2.000001e-02    -1.996836e-02    
+5.000000e+00    -1.970481e-02    -2.000001e-02    
+5.250000e+00    -1.856777e-02    -2.000001e-02    
+5.500000e+00    +4.558655e-04    -1.160305e-02    
+5.750000e+00    +1.394187e-02    +1.280415e-02    
+6.000000e+00    +4.399116e-03    +4.324468e-03    
+6.250000e+00    -7.880917e-03    -7.671867e-03    
+6.500000e+00    -4.286539e-03    -3.831784e-03    
+6.750000e+00    -7.834850e-04    -1.030374e-04    
+7.000000e+00    +2.005605e-03    +2.871833e-03    
+7.250000e+00    +4.080032e-03    +5.126487e-03    
+7.500000e+00    +4.413664e-03    +7.647770e-03    
+7.750000e+00    +5.442531e-03    +7.601123e-03    
+8.000000e+00    +6.351937e-03    +6.577752e-03    
+8.250000e+00    +7.473529e-03    +7.668531e-03    
+8.500000e+00    +1.618025e-02    +1.619894e-02    
+8.750000e+00    -3.992292e-03    -4.082683e-03    
+9.000000e+00    +7.955341e-03    +7.817256e-03    
+9.250000e+00    +2.366140e-03    +2.117323e-03    
+9.500000e+00    +1.446630e-03    +1.099214e-03    
+9.750000e+00    +7.370795e-04    +1.246780e-04    
+1.000000e+01    +8.338256e-04    -1.851141e-03    
+1.025000e+01    -1.012435e-03    -1.118752e-03    
+1.050000e+01    -9.810113e-04    -9.494196e-04    
+1.075000e+01    -8.346112e-04    -7.393378e-04    
+1.100000e+01    -8.738729e-04    -7.422038e-04    
+1.125000e+01    -1.062827e-03    -9.005237e-04    
+1.150000e+01    -1.192237e-03    -9.438175e-04    
+1.175000e+01    -2.156452e-03    -3.828174e-04    
+1.200000e+01    -2.060994e-03    -1.864574e-03    
+1.225000e+01    -7.012960e-03    -6.973670e-03    
+1.250000e+01    -1.907096e-03    -1.966946e-03    
+1.275000e+01    -1.117498e-03    -1.227033e-03    
+1.300000e+01    -6.133176e-04    -7.770096e-04    
+1.325000e+01    +1.828115e-04    -5.286287e-04    
+1.350000e+01    +6.395870e-04    -1.268546e-04    
+1.375000e+01    +2.869844e-04    +2.572413e-04    
+1.400000e+01    +7.218580e-05    +9.377283e-05    
+1.425000e+01    +6.882656e-05    +1.183752e-04    
+1.450000e+01    +2.113980e-04    +2.785282e-04    
+1.475000e+01    +3.862572e-04    +4.653906e-04    
+1.500000e+01    +5.066412e-04    +6.079066e-04    
+1.525000e+01    +3.017095e-04    +1.033581e-03    
+1.550000e+01    +8.172533e-04    +9.185107e-04    
+1.575000e+01    +2.048750e-03    +2.079827e-03    
+1.600000e+01    +1.866960e-03    +1.856536e-03    
+1.625000e+01    +4.902550e-04    +4.535022e-04    
+1.650000e+01    +4.016224e-04    +3.482273e-04    
+1.675000e+01    +2.392341e-04    +1.592374e-04    
+1.700000e+01    +2.337846e-04    -2.894145e-04    
+1.725000e+01    -1.330339e-04    -1.798050e-04    
+1.750000e+01    -1.225411e-04    -1.239046e-04    
+1.775000e+01    -9.961909e-05    -8.516295e-05    
+1.800000e+01    -1.243745e-04    -1.015018e-04    
+1.825000e+01    -1.777822e-04    -1.498873e-04    
+1.850000e+01    -2.272576e-04    -1.927606e-04    
+1.875000e+01    -3.862960e-04    -1.175972e-04    
+1.900000e+01    -3.751247e-04    -2.813357e-04    
+1.925000e+01    -6.262049e-04    -6.063933e-04    
+1.950000e+01    -1.187631e-03    -1.189462e-03    
+1.975000e+01    -1.294895e-04    -1.463133e-04    
+2.000000e+01    -1.430345e-04    -1.674887e-04    
+2.025000e+01    -6.458694e-05    -1.038756e-04    
+2.050000e+01    +1.294806e-04    -9.919572e-05    
+2.075000e+01    +7.206202e-05    +5.802508e-05    
+2.100000e+01    +4.016828e-05    +4.096074e-05    
+2.125000e+01    +2.454195e-05    +3.157362e-05    
+2.150000e+01    +3.732907e-05    +4.792863e-05    
+2.175000e+01    +6.296696e-05    +7.574429e-05    
+2.200000e+01    +8.498367e-05    +1.004753e-04    
+2.225000e+01    +5.523835e-05    +1.697860e-04    
+2.250000e+01    +1.230114e-04    +1.642567e-04    
+2.275000e+01    +2.403506e-04    +2.490989e-04    
+2.300000e+01    +5.316464e-04    +5.312559e-04    
+2.325000e+01    +6.429720e-05    +5.752445e-05    
+2.350000e+01    +7.663285e-05    +6.687692e-05    
+2.375000e+01    +4.614867e-05    +3.164886e-05    
+2.400000e+01    +4.415126e-05    -5.262384e-05    
+2.425000e+01    -2.365908e-05    -3.312870e-05    
+2.450000e+01    -2.081304e-05    -2.123205e-05    
+2.475000e+01    -1.613826e-05    -1.352229e-05    
+2.500000e+01    -2.125639e-05    -1.698025e-05    
+2.525000e+01    -3.198395e-05    -2.673661e-05    
+2.550000e+01    -4.243272e-05    -3.593964e-05    
+2.575000e+01    -7.786626e-05    -5.832253e-05    
+2.600000e+01    -6.358927e-05    -1.732923e-05    
+2.625000e+01    -9.521533e-05    -9.159889e-05    
+2.650000e+01    -1.822825e-04    -1.818089e-04    
+2.675000e+01    -3.326799e-05    -3.509087e-05    
+2.700000e+01    -5.075805e-05    -5.387572e-05    
+2.725000e+01    -2.444422e-05    -2.928714e-05    
+2.750000e+01    -5.941518e-06    -1.549868e-05    
+2.775000e+01    +2.379776e-05    -1.509937e-05    
+2.800000e+01    +8.353842e-06    +7.927270e-06    
+2.825000e+01    +7.104245e-06    +7.402606e-06    
+2.850000e+01    +9.379068e-06    +1.001065e-05    
+2.875000e+01    +3.159093e-06    +6.299892e-06    
+2.900000e+01    +1.642285e-05    +1.792580e-05    
+2.925000e+01    +1.533252e-05    +1.869128e-05    
+2.950000e+01    +9.035847e-06    +3.364166e-05    
+2.975000e+01    +3.560162e-05    +3.895318e-05    
+3.000000e+01    +6.102503e-05    +6.188597e-05    
+3.025000e+01    +8.116954e-06    +7.787287e-06    
+3.050000e+01    +6.869791e-05    +6.764379e-05    
+3.075000e+01    +1.389236e-05    +1.864059e-05    
+3.100000e+01    +3.702894e-06    -1.316728e-05    
+3.125000e+01    -1.582276e-06    -1.189529e-05    
+3.150000e+01    -5.127361e-06    -5.478110e-06    
+3.175000e+01    -3.679021e-06    -3.379955e-06    
+3.200000e+01    -2.109425e-06    -1.266193e-06    
+3.225000e+01    -3.869948e-06    -3.086235e-06    
+3.250000e+01    -6.272122e-06    -5.290349e-06    
+3.275000e+01    -9.606833e-06    -8.354144e-06    
+3.300000e+01    -1.032071e-05    -7.919299e-06    
+3.325000e+01    -1.097623e-05    -8.366791e-06    
+3.350000e+01    -1.002189e-05    -8.096568e-06    
+3.375000e+01    -7.285991e-06    -6.799447e-06    
+3.400000e+01    -6.442937e-06    -5.850186e-06    
+3.425000e+01    +1.846217e-05    +1.969059e-05    
+3.450000e+01    -1.686675e-05    -1.774506e-05    
+3.475000e+01    -8.946558e-06    -8.212428e-06    
+3.500000e+01    +3.075042e-05    +3.134223e-05    
+3.525000e+01    -2.294541e-05    -2.928850e-05    
+3.550000e+01    -1.255657e-05    -1.051335e-05    
+3.575000e+01    +4.081203e-05    +3.824814e-05    
+3.600000e+01    -1.402870e-04    -1.390900e-04    
+3.625000e+01    +4.751338e-05    +5.316321e-05    
+3.650000e+01    +1.879917e-05    +1.001153e-05    
+3.675000e+01    +8.863763e-06    +9.120931e-06    
+3.700000e+01    +6.886075e-06    +7.065664e-06    
+3.725000e+01    +5.096075e-06    +6.644131e-06    
+3.750000e+01    +3.795450e-06    +5.675017e-06    
+3.775000e+01    +2.970729e-06    +4.304404e-06    
+3.800000e+01    +3.933442e-06    +3.958378e-06    
+3.825000e+01    +3.689573e-06    +3.339214e-06    
+3.850000e+01    -9.667507e-06    -9.702651e-06    
+3.875000e+01    +3.472370e-05    +3.341044e-05    
+3.900000e+01    -2.093269e-05    -2.329623e-05    
+3.925000e+01    +4.041786e-05    +4.558602e-05    
+3.950000e+01    -1.266066e-04    -1.303395e-04    
+3.975000e+01    +1.791958e-04    +1.824527e-04    
+4.000000e+01    -3.727201e-05    -3.819610e-05    
+4.025000e+01    -1.256422e-05    -1.313855e-05    
+4.050000e+01    -9.178185e-06    -9.343691e-06    
+4.075000e+01    -7.403850e-06    -7.965825e-06    
+4.100000e+01    -6.686246e-06    -6.091134e-06    
+4.125000e+01    +1.565901e-05    +1.543709e-05    
+4.150000e+01    -5.316234e-05    -5.291481e-05    
+4.175000e+01    +1.964475e-05    +2.122981e-05    
+4.200000e+01    -3.461885e-05    -3.896678e-05    
+4.225000e+01    +4.888506e-05    +5.259719e-05    
+4.250000e+01    -3.883993e-05    -4.195725e-05    
+4.275000e+01    +4.153180e-05    +4.388627e-05    
+4.300000e+01    -4.461944e-05    -4.649094e-05    
+4.325000e+01    +5.148266e-05    +5.353015e-05    
+4.350000e+01    -5.396529e-05    -5.564472e-05    
+4.375000e+01    +5.119154e-05    +5.316590e-05    
+4.400000e+01    -3.715476e-05    -3.887204e-05    
+4.425000e+01    +3.219117e-05    +3.361064e-05    
+4.450000e+01    -4.908904e-05    -5.057818e-05    
+4.475000e+01    +7.977803e-05    +8.137229e-05    
+4.500000e+01    -9.198037e-05    -9.382486e-05    
+4.525000e+01    +3.663300e-05    +3.778907e-05    
+4.550000e+01    -3.301922e-06    -4.404379e-06    
+4.575000e+01    +1.331220e-05    +1.475755e-05    
+4.600000e+01    -1.945363e-05    -1.993417e-05    
+4.625000e+01    +4.301181e-05    +4.383742e-05    
+4.650000e+01    -2.653181e-05    -2.709059e-05    
+4.675000e+01    +7.831176e-06    +5.765739e-06    
+4.700000e+01    -2.279268e-05    -1.983736e-05    
+4.725000e+01    +2.200900e-05    +1.970367e-05    
+4.750000e+01    -8.690417e-06    -5.991268e-06    
+4.775000e+01    +2.397271e-05    +2.221678e-05    
+4.800000e+01    -2.427633e-05    -2.413880e-05    
+4.825000e+01    +8.927004e-06    +6.938420e-06    
+4.850000e+01    -1.734308e-05    -1.502791e-05    
+4.875000e+01    +4.706278e-05    +4.770444e-05    
+4.900000e+01    -6.110994e-05    -6.215902e-05    
+4.925000e+01    +3.551717e-05    +3.599237e-05    
+4.950000e+01    -1.735440e-05    -1.800767e-05    
+4.975000e+01    +2.699138e-05    +2.777082e-05    
+5.000000e+01    -4.840018e-05    -4.880951e-05    
+5.025000e+01    +6.567265e-05    +6.640013e-05    
+5.050000e+01    -6.233648e-05    -6.360437e-05    
+5.075000e+01    +3.482979e-05    +3.549589e-05    
+5.100000e+01    -1.588198e-05    -1.667737e-05    
+5.125000e+01    +2.531839e-05    +2.626818e-05    
+5.150000e+01    -4.498792e-05    -4.541531e-05    
+5.175000e+01    +6.519222e-05    +6.607753e-05    
+5.200000e+01    -7.200855e-05    -7.314247e-05    
+5.225000e+01    +4.566886e-05    +4.617632e-05    
+5.250000e+01    -1.736305e-05    -1.802304e-05    
+5.275000e+01    +2.190687e-05    +2.263706e-05    
+5.300000e+01    -4.605754e-05    -4.650702e-05    
+5.325000e+01    +6.969413e-05    +7.062768e-05    
+5.350000e+01    -6.471915e-05    -6.599092e-05    
+5.375000e+01    +2.964100e-05    +3.026371e-05    
+5.400000e+01    -1.718778e-05    -1.778684e-05    
+5.425000e+01    +3.765544e-05    +3.945358e-05    
+5.450000e+01    -6.223670e-05    -6.397740e-05    
+5.475000e+01    +8.032379e-05    +8.115081e-05    
+5.500000e+01    -5.126219e-05    -5.228031e-05    
+5.525000e+01    +1.352017e-05    +1.405174e-05    
+5.550000e+01    -2.075180e-05    -2.092858e-05    
+5.575000e+01    +4.165129e-05    +4.261631e-05    
+5.600000e+01    -6.077809e-05    -6.167842e-05    
+5.625000e+01    +6.494663e-05    +6.572054e-05    
+5.650000e+01    -4.707096e-05    -4.796876e-05    
+5.675000e+01    +3.296945e-05    +3.356407e-05    
+5.700000e+01    -4.246611e-05    -4.300913e-05    
+5.725000e+01    +6.179592e-05    +6.262113e-05    
+5.750000e+01    -6.844574e-05    -6.930581e-05    
+5.775000e+01    +5.010897e-05    +5.073323e-05    
+5.800000e+01    -2.733761e-05    -2.822439e-05    
+5.825000e+01    +2.726528e-05    +2.812246e-05    
+5.850000e+01    -4.836607e-05    -4.884938e-05    
+5.875000e+01    +7.298842e-05    +7.394204e-05    
+5.900000e+01    -7.046292e-05    -7.167001e-05    
+5.925000e+01    +2.701492e-05    +2.739828e-05    
+5.950000e+01    -7.628990e-06    -8.175117e-06    
+5.975000e+01    +2.448848e-05    +2.578065e-05    
+6.000000e+01    -3.741744e-05    -3.820528e-05    
+6.025000e+01    +5.495940e-05    +5.576898e-05    
+6.050000e+01    -5.979730e-05    -6.084796e-05    
+6.075000e+01    +3.682535e-05    +3.728010e-05    
+6.100000e+01    -1.677278e-05    -1.735115e-05    
+6.125000e+01    +2.288017e-05    +2.360415e-05    
+6.150000e+01    -4.561799e-05    -4.581865e-05    
+6.175000e+01    +7.251444e-05    +7.329106e-05    
+6.200000e+01    -6.668533e-05    -6.790233e-05    
+6.225000e+01    +2.653632e-05    +2.685007e-05    
+6.250000e+01    -1.334376e-05    -1.359425e-05    
+6.275000e+01    +2.486711e-05    +2.550884e-05    
+6.300000e+01    -3.808474e-05    -3.853112e-05    
+6.325000e+01    +6.871313e-05    +6.970506e-05    
+6.350000e+01    -8.285257e-05    -8.405357e-05    
+6.375000e+01    +3.982644e-05    +4.010507e-05    
+6.400000e+01    -9.335701e-06    -9.827250e-06    
+6.425000e+01    +1.844227e-05    +1.918181e-05    
+6.450000e+01    -2.674270e-05    -2.737273e-05    
+6.475000e+01    +5.165436e-05    +5.373427e-05    
+6.500000e+01    -7.037067e-05    -7.254678e-05    
+6.525000e+01    +5.053930e-05    +5.118653e-05    
+6.550000e+01    -1.979107e-05    -2.019964e-05    
+6.575000e+01    +2.037374e-05    +2.087887e-05    
+6.600000e+01    -4.973066e-05    -4.993738e-05    
+6.625000e+01    +8.306773e-05    +8.397325e-05    
+6.650000e+01    -7.716569e-05    -7.855940e-05    
+6.675000e+01    +3.172286e-05    +3.212809e-05    
+6.700000e+01    -1.243725e-05    -1.292750e-05    
+6.725000e+01    +1.808367e-05    +1.911571e-05    
+6.750000e+01    -2.734490e-05    -2.815110e-05    
+6.775000e+01    +5.258292e-05    +5.417505e-05    
+6.800000e+01    -7.303033e-05    -7.476448e-05    
+6.825000e+01    +5.266895e-05    +5.327953e-05    
+6.850000e+01    -1.653859e-05    -1.720567e-05    
+6.875000e+01    +1.611245e-05    +1.685809e-05    
+6.900000e+01    -4.116377e-05    -4.137168e-05    
+6.925000e+01    +6.650168e-05    +6.746193e-05    
+6.950000e+01    -6.886662e-05    -7.007357e-05    
+6.975000e+01    +4.485354e-05    +4.526356e-05    
+7.000000e+01    -2.151493e-05    -2.226609e-05    
+7.025000e+01    +2.162961e-05    +2.246180e-05    
+7.050000e+01    -4.533687e-05    -4.568826e-05    
+7.075000e+01    +7.181854e-05    +7.283069e-05    
+7.100000e+01    -6.687876e-05    -6.823975e-05    
+7.125000e+01    +2.623991e-05    +2.668418e-05    
+7.150000e+01    -9.861058e-06    -1.048170e-05    
+7.175000e+01    +1.425976e-05    +1.523115e-05    
