# git commit hash:    b7b33e2 
time    x    y    theta    theta_t    phi_l    phi_1_t    v    w    
#
+0.000000e+00    -6.000000e-01    -7.500000e-01    +0.000000e+00    +0.000000e+00    +0.000000e+00    +0.000000e+00    +0.000000e+00    +0.000000e+00    
+2.500000e-01    -5.926284e-01    -7.496024e-01    +1.077583e-01    +2.013501e-03    -1.584312e-01    +2.037256e-01    +5.910439e-02    +8.620665e-01    
+5.000000e-01    -5.637531e-01    -7.427306e-01    +3.232749e-01    +3.485119e-02    -4.779253e-02    +9.196658e-01    +1.790482e-01    +8.620665e-01    
+7.500000e-01    -5.096252e-01    -7.172377e-01    +5.387916e-01    +1.415106e-01    +9.259850e-01    +2.159402e+00    +3.007851e-01    +8.620665e-01    
+1.000000e+00    -4.379862e-01    -6.626749e-01    +7.497839e-01    +3.287046e-01    +2.780209e+00    +3.874733e+00    +4.210190e-01    +8.258723e-01    
+1.250000e+00    -3.595181e-01    -5.736805e-01    +9.313577e-01    +5.651496e-01    +5.552227e+00    +6.192086e+00    +5.293137e-01    +6.267178e-01    
+1.500000e+00    -2.809503e-01    -4.588270e-01    +9.705079e-01    +7.710848e-01    +9.394263e+00    +9.288147e+00    +5.838755e-01    -3.135162e-01    
+1.750000e+00    -1.847756e-01    -3.318216e-01    +8.703943e-01    +8.518126e-01    +1.429116e+01    +1.353656e+01    +6.910175e-01    -4.873926e-01    
+2.000000e+00    -6.653307e-02    -2.078267e-01    +7.470863e-01    +8.216478e-01    +1.961235e+01    +1.853377e+01    +6.805371e-01    -4.990716e-01    
+2.250000e+00    +5.356050e-02    -1.090824e-01    +6.270349e-01    +7.440188e-01    +2.446880e+01    +2.322335e+01    +5.639893e-01    -4.613394e-01    
+2.500000e+00    +1.597038e-01    -4.060959e-02    +5.159326e-01    +6.597546e-01    +2.846051e+01    +2.709229e+01    +4.470053e-01    -4.274790e-01    
+2.750000e+00    +2.463623e-01    +3.002959e-03    +4.125168e-01    +5.824689e-01    +3.158814e+01    +3.009662e+01    +3.294213e-01    -3.998475e-01    
+3.000000e+00    +3.094532e-01    +2.726592e-02    +3.158147e-01    +5.188690e-01    +3.385173e+01    +3.221385e+01    +2.115044e-01    -3.737694e-01    
+3.250000e+00    +3.460859e-01    +3.763992e-02    +2.254174e-01    +4.758480e-01    +3.524983e+01    +3.342269e+01    +9.310146e-02    -3.494089e-01    
+3.500000e+00    +3.542020e-01    +3.935377e-02    +1.394841e-01    +4.648177e-01    +3.578145e+01    +3.368941e+01    -2.690104e-02    -3.380569e-01    
+3.750000e+00    +3.523174e-01    +3.910172e-02    +5.589519e-02    +4.680094e-01    +3.601374e+01    +3.362714e+01    +1.177031e-02    -3.306548e-01    
+4.000000e+00    +3.705434e-01    +3.916869e-02    -2.533246e-02    +4.278159e-01    +3.681309e+01    +3.423518e+01    +1.341979e-01    -3.191665e-01    
+4.250000e+00    +4.188427e-01    +3.596138e-02    -9.731668e-02    +3.219508e-01    +3.844319e+01    +3.584932e+01    +2.530226e-01    -2.567072e-01    
+4.500000e+00    +4.766956e-01    +2.982777e-02    -8.983262e-02    +2.138791e-01    +4.007976e+01    +3.776820e+01    +2.125054e-01    +3.165797e-01    
+4.750000e+00    +5.151355e-01    +2.776624e-02    -4.471086e-03    +1.666359e-01    +4.088727e+01    +3.899761e+01    +9.577147e-02    +3.663127e-01    
+5.000000e+00    +5.241653e-01    +2.791207e-02    +8.727648e-02    +1.598567e-01    +4.083075e+01    +3.927609e+01    -2.343149e-02    +3.676679e-01    
+5.250000e+00    +5.037597e-01    +2.496388e-02    +1.776134e-01    +1.617618e-01    +3.993178e+01    +3.868057e+01    -1.415355e-01    +3.550277e-01    
+5.500000e+00    +4.552799e-01    +1.395288e-02    +2.587046e-01    +1.443878e-01    +3.823297e+01    +3.732321e+01    -2.563321e-01    +2.937017e-01    
+5.750000e+00    +3.895831e-01    -4.511988e-03    +2.675871e-01    +9.044911e-02    +3.625270e+01    +3.558197e+01    -2.896347e-01    -2.226420e-01    
+6.000000e+00    +3.289660e-01    -1.930598e-02    +2.058372e-01    +3.401516e-02    +3.468139e+01    +3.402037e+01    -2.096189e-01    -2.713573e-01    
+6.250000e+00    +2.805597e-01    -2.774180e-02    +1.375983e-01    -5.903969e-03    +3.351119e+01    +3.277086e+01    -1.835511e-01    -2.745536e-01    
+6.500000e+00    +2.291517e-01    -3.302391e-02    +7.007879e-02    -3.912074e-02    +3.226588e+01    +3.141964e+01    -2.299439e-01    -2.656024e-01    
+6.750000e+00    +1.686945e-01    -3.527136e-02    +6.112180e-03    -6.742520e-02    +3.075635e+01    +2.979515e+01    -2.541251e-01    -2.461305e-01    
+7.000000e+00    +1.048600e-01    -3.377161e-02    -5.177849e-02    -8.504883e-02    +2.913024e+01    +2.803374e+01    -2.567629e-01    -2.169948e-01    
+7.250000e+00    +4.267417e-02    -2.896650e-02    -1.013909e-01    -8.853660e-02    +2.751812e+01    +2.626375e+01    -2.422580e-01    -1.799043e-01    
+7.500000e+00    -1.404173e-02    -2.203457e-02    -1.407660e-01    -7.760398e-02    +2.602050e+01    +2.459495e+01    -2.148718e-01    -1.350968e-01    
+7.750000e+00    -6.270543e-02    -1.459847e-02    -1.572303e-01    -5.647472e-02    +2.467040e+01    +2.312098e+01    -1.789544e-01    +3.382500e-03    
+8.000000e+00    -1.021176e-01    -8.512513e-03    -1.448313e-01    -3.452411e-02    +2.348848e+01    +2.191290e+01    -1.400792e-01    +9.580994e-02    
+8.250000e+00    -1.320524e-01    -4.503858e-03    -1.196701e-01    -1.798703e-02    +2.253927e+01    +2.099820e+01    -1.015454e-01    +1.054790e-01    
+8.500000e+00    -1.516856e-01    -2.386275e-03    -9.225668e-02    -8.444284e-03    +2.188106e+01    +2.040378e+01    -5.644089e-02    +1.138287e-01    
+8.750000e+00    -1.537359e-01    -2.168524e-03    -6.369949e-02    -7.412559e-03    +2.172427e+01    +2.034161e+01    +3.994008e-02    +1.146289e-01    
+9.000000e+00    -1.467632e-01    -2.528294e-03    -3.552607e-02    -8.961659e-03    +2.182716e+01    +2.054622e+01    +1.591921e-02    +1.107585e-01    
+9.250000e+00    -1.369222e-01    -2.717777e-03    -8.575522e-03    -9.463015e-03    +2.201599e+01    +2.082915e+01    +6.282441e-02    +1.048459e-01    
+9.500000e+00    -1.195501e-01    -2.639878e-03    +1.630421e-02    -8.258571e-03    +2.242705e+01    +2.132132e+01    +7.615751e-02    +9.419195e-02    
+9.750000e+00    -9.957223e-02    -2.087758e-03    +3.799272e-02    -4.745247e-03    +2.292372e+01    +2.187996e+01    +8.372986e-02    +7.931617e-02    
+1.000000e+01    -7.834287e-02    -1.092301e-03    +5.454401e-02    +5.965579e-04    +2.347420e+01    +2.246814e+01    +8.629368e-02    +5.309411e-02    
+1.025000e+01    -5.718152e-02    +1.023348e-04    +5.344679e-02    +6.339767e-03    +2.408353e+01    +2.305317e+01    +8.326684e-02    -6.187190e-02    
+1.050000e+01    -3.717831e-02    +1.015693e-03    +3.740977e-02    +1.015980e-02    +2.471064e+01    +2.361179e+01    +7.692758e-02    -6.642420e-02    
+1.075000e+01    -1.867219e-02    +1.557509e-03    +2.097281e-02    +1.187879e-02    +2.529597e+01    +2.413478e+01    +7.118664e-02    -6.507149e-02    
+1.100000e+01    -1.462244e-03    +1.782940e-03    +5.214872e-03    +1.197201e-02    +2.584176e+01    +2.462622e+01    +6.650615e-02    -6.099203e-02    
+1.125000e+01    +1.456338e-02    +1.749553e-03    -9.328404e-03    +1.085527e-02    +2.634950e+01    +2.508788e+01    +6.170021e-02    -5.535417e-02    
+1.150000e+01    +2.925660e-02    +1.516635e-03    -2.229825e-02    +8.910977e-03    +2.681383e+01    +2.551427e+01    +5.586100e-02    -4.840460e-02    
+1.175000e+01    +4.242251e-02    +1.150563e-03    -3.306979e-02    +6.509968e-03    +2.722708e+01    +2.589858e+01    +4.950742e-02    -3.776769e-02    
+1.200000e+01    +5.384834e-02    +7.547612e-04    -3.301868e-02    +4.168059e-03    +2.755355e+01    +2.623299e+01    +4.195404e-02    +3.817653e-02    
+1.225000e+01    +6.287371e-02    +5.003440e-04    -2.242325e-02    +2.706413e-03    +2.777519e+01    +2.649585e+01    +3.027829e-02    +4.658694e-02    
+1.250000e+01    +6.524330e-02    +4.508954e-04    -1.056622e-02    +2.421682e-03    +2.780226e+01    +2.656452e+01    -1.131693e-02    +4.826929e-02    
+1.275000e+01    +6.097407e-02    +4.678825e-04    +1.180765e-03    +2.563822e-03    +2.764000e+01    +2.644206e+01    -2.283735e-02    +4.570658e-02    
+1.300000e+01    +5.439342e-02    +4.222257e-04    +1.202115e-02    +2.414729e-03    +2.741481e+01    +2.625455e+01    -2.980935e-02    +4.101647e-02    
+1.325000e+01    +4.642544e-02    +2.870955e-04    +2.139913e-02    +1.809445e-03    +2.715497e+01    +2.602896e+01    -3.394396e-02    +3.400744e-02    
+1.350000e+01    +3.781346e-02    +7.698652e-05    +2.609315e-02    +7.902993e-04    +2.689275e+01    +2.578639e+01    -3.497243e-02    +3.544700e-03    
+1.375000e+01    +2.926368e-02    -1.383491e-04    +2.287710e-02    -3.036535e-04    +2.665942e+01    +2.554586e+01    -3.344753e-02    -2.927311e-02    
+1.400000e+01    +2.110564e-02    -2.949685e-04    +1.539963e-02    -1.137954e-03    +2.645192e+01    +2.531564e+01    -3.182903e-02    -3.054667e-02    
+1.425000e+01    +1.321062e-02    -3.867885e-04    +7.878502e-03    -1.666555e-03    +2.625212e+01    +2.509188e+01    -3.133550e-02    -2.962234e-02    
+1.450000e+01    +5.446421e-03    -4.199789e-04    +7.381156e-04    -1.908853e-03    +2.605477e+01    +2.487088e+01    -3.077881e-02    -2.750075e-02    
+1.475000e+01    -2.066132e-03    -4.007964e-04    -5.777771e-03    -1.884359e-03    +2.586246e+01    +2.465615e+01    -2.932191e-02    -2.462634e-02    
+1.500000e+01    -9.079765e-03    -3.399744e-04    -1.151081e-02    -1.636413e-03    +2.568172e+01    +2.445491e+01    -2.678933e-02    -2.123798e-02    
+1.525000e+01    -1.536218e-02    -2.524390e-04    -1.627830e-02    -1.234204e-03    +2.551855e+01    +2.427403e+01    -2.347488e-02    -1.690196e-02    
+1.550000e+01    -2.073374e-02    -1.606807e-04    -1.658660e-02    -7.916024e-04    +2.536611e+01    +2.411903e+01    -1.950392e-02    +1.443561e-02    
+1.575000e+01    -2.496403e-02    -9.846142e-05    -1.243574e-02    -4.862405e-04    +2.523100e+01    +2.399712e+01    -1.434206e-02    +1.877129e-02    
+1.600000e+01    -2.701474e-02    -7.664118e-05    -7.576580e-03    -3.788521e-04    +2.515575e+01    +2.393816e+01    -2.064633e-03    +2.010195e-02    
+1.625000e+01    -2.614682e-02    -7.990594e-05    -2.606884e-03    -3.938708e-04    +2.516350e+01    +2.396301e+01    +9.008027e-03    +1.965562e-02    
+1.650000e+01    -2.354401e-02    -8.019104e-05    +2.110309e-03    -3.900316e-04    +2.522170e+01    +2.403736e+01    +1.181449e-02    +1.808193e-02    
+1.675000e+01    -2.031169e-02    -6.617513e-05    +6.345004e-03    -3.122398e-04    +2.529953e+01    +2.412945e+01    +1.404434e-02    +1.579563e-02    
+1.700000e+01    -1.665261e-02    -3.616823e-05    +9.865745e-03    -1.538864e-04    +2.539201e+01    +2.423345e+01    +1.522929e-02    +1.237030e-02    
+1.725000e+01    -1.286617e-02    +3.508744e-06    +1.015800e-02    +5.059094e-05    +2.549920e+01    +2.434093e+01    +1.506386e-02    -1.003225e-02    
+1.750000e+01    -9.216641e-03    +3.575385e-05    +7.399605e-03    +2.133949e-04    +2.561293e+01    +2.444465e+01    +1.413356e-02    -1.203492e-02    
+1.775000e+01    -5.774921e-03    +5.608153e-05    +4.383579e-03    +3.129139e-04    +2.572161e+01    +2.454264e+01    +1.340069e-02    -1.209330e-02    
+1.800000e+01    -2.493450e-03    +6.562402e-05    +1.437627e-03    +3.561497e-04    +2.582547e+01    +2.463625e+01    +1.285120e-02    -1.147431e-02    
+1.825000e+01    +6.353890e-04    +6.580057e-05    -1.308529e-03    +3.513205e-04    +2.592428e+01    +2.472566e+01    +1.217951e-02    -1.049494e-02    
+1.850000e+01    +3.558457e-03    +5.833666e-05    -3.782962e-03    +3.080564e-04    +2.601628e+01    +2.480933e+01    +1.120512e-02    -9.300525e-03    
+1.875000e+01    +6.203577e-03    +4.547355e-05    -5.923455e-03    +2.383540e-04    +2.609919e+01    +2.488514e+01    +9.956096e-03    -7.823419e-03    
+1.900000e+01    +8.505248e-03    +3.070818e-05    -6.441153e-03    +1.602762e-04    +2.616673e+01    +2.495117e+01    +8.457649e-03    +3.681836e-03    
+1.925000e+01    +1.037561e-02    +1.977668e-05    -5.018706e-03    +1.029660e-04    +2.621529e+01    +2.500480e+01    +6.505512e-03    +7.697734e-03    
+1.950000e+01    +1.154380e-02    +1.492413e-05    -2.988235e-03    +7.754639e-05    +2.624171e+01    +2.503827e+01    +2.840107e-03    +8.546035e-03    
+1.975000e+01    +1.137023e-02    +1.494476e-05    -8.615277e-04    +7.772071e-05    +2.622946e+01    +2.503331e+01    -4.228690e-03    +8.467626e-03    
+2.000000e+01    +1.021054e-02    +1.471657e-05    +1.165333e-03    +7.701655e-05    +2.618937e+01    +2.500018e+01    -5.048848e-03    +7.747258e-03    
+2.025000e+01    +8.832903e-03    +1.180241e-05    +2.971261e-03    +6.257280e-05    +2.614382e+01    +2.496087e+01    -5.972255e-03    +6.700170e-03    
+2.050000e+01    +7.277230e-03    +5.970923e-06    +4.436019e-03    +3.305710e-05    +2.609435e+01    +2.491652e+01    -6.473216e-03    +5.017891e-03    
+2.075000e+01    +5.670201e-03    -1.510234e-06    +4.466547e-03    -5.192587e-06    +2.604833e+01    +2.487073e+01    -6.383157e-03    -4.773668e-03    
+2.100000e+01    +4.122778e-03    -7.470008e-06    +3.198000e-03    -3.592517e-05    +2.600847e+01    +2.482663e+01    -5.996314e-03    -5.374707e-03    
+2.125000e+01    +2.653862e-03    -1.118955e-05    +1.858565e-03    -5.534975e-05    +2.597109e+01    +2.478473e+01    -5.755059e-03    -5.340775e-03    
+2.150000e+01    +1.235957e-03    -1.290052e-05    +5.610063e-04    -6.456564e-05    +2.593503e+01    +2.474425e+01    -5.588188e-03    -5.039691e-03    
+2.175000e+01    -1.293983e-04    -1.283855e-05    -6.421843e-04    -6.470531e-05    +2.590014e+01    +2.470524e+01    -5.334656e-03    -4.585834e-03    
+2.200000e+01    -1.411500e-03    -1.131876e-05    -1.720255e-03    -5.731655e-05    +2.586721e+01    +2.466858e+01    -4.922168e-03    -4.038729e-03    
+2.225000e+01    -2.573102e-03    -8.776832e-06    -2.647021e-03    -4.458733e-05    +2.583720e+01    +2.463535e+01    -4.370666e-03    -3.375400e-03    
+2.250000e+01    -3.582119e-03    -5.889628e-06    -2.877778e-03    -2.997463e-05    +2.580916e+01    +2.460647e+01    -3.701507e-03    +1.529346e-03    
+2.275000e+01    -4.400712e-03    -3.739889e-06    -2.274684e-03    -1.905238e-05    +2.578370e+01    +2.458304e+01    -2.847254e-03    +3.295404e-03    
+2.300000e+01    -4.930589e-03    -2.734724e-06    -1.404010e-03    -1.394200e-05    +2.576558e+01    +2.456788e+01    -1.391771e-03    +3.669991e-03    
+2.325000e+01    -4.883435e-03    -2.719050e-06    -4.886019e-04    -1.385831e-05    +2.576379e+01    +2.456923e+01    +1.768996e-03    +3.653272e-03    
+2.350000e+01    -4.395904e-03    -2.733895e-06    +3.884664e-04    -1.389929e-05    +2.577471e+01    +2.458316e+01    +2.131258e-03    +3.363274e-03    
+2.375000e+01    -3.809745e-03    -2.262956e-06    +1.177068e-03    -1.144553e-05    +2.578875e+01    +2.459990e+01    +2.558015e-03    +2.945541e-03    
+2.400000e+01    -3.141323e-03    -1.244186e-06    +1.835846e-03    -6.190206e-06    +2.580559e+01    +2.461898e+01    +2.789363e-03    +2.324682e-03    
+2.425000e+01    -2.447133e-03    +1.120736e-07    +1.899047e-03    +7.746708e-07    +2.582521e+01    +2.463879e+01    +2.764168e-03    -1.819074e-03    
+2.450000e+01    -1.777201e-03    +1.222435e-06    +1.393594e-03    +6.455911e-06    +2.584608e+01    +2.465791e+01    +2.595297e-03    -2.224548e-03    
+2.475000e+01    -1.144006e-03    +1.929762e-06    +8.352148e-04    +1.005593e-05    +2.586609e+01    +2.467599e+01    +2.470267e-03    -2.242489e-03    
+2.500000e+01    -5.374645e-04    +2.270170e-06    +2.885940e-04    +1.176722e-05    +2.588529e+01    +2.469331e+01    +2.382065e-03    -2.130478e-03    
+2.525000e+01    +4.383866e-05    +2.288766e-06    -2.211382e-04    +1.182704e-05    +2.590365e+01    +2.470992e+01    +2.268360e-03    -1.947380e-03    
+2.550000e+01    +5.891014e-04    +2.042232e-06    -6.798979e-04    +1.053121e-05    +2.592080e+01    +2.472551e+01    +2.093742e-03    -1.722697e-03    
+2.575000e+01    +1.083405e-03    +1.607363e-06    -1.075819e-03    +8.277060e-06    +2.593628e+01    +2.473964e+01    +1.860685e-03    -1.444674e-03    
+2.600000e+01    +1.497952e-03    +1.103142e-06    -1.332384e-03    +5.676387e-06    +2.594900e+01    +2.475149e+01    +1.455699e-03    -6.078426e-04    
+2.625000e+01    +1.831798e-03    +6.600391e-07    -1.236747e-03    +3.396320e-06    +2.595822e+01    +2.476104e+01    +1.215071e-03    +1.372939e-03    
+2.650000e+01    +2.066124e-03    +4.077669e-07    -8.741558e-04    +2.099357e-06    +2.596367e+01    +2.476774e+01    +6.595387e-04    +1.527789e-03    
+2.675000e+01    +2.095671e-03    +3.789335e-07    -4.896737e-04    +1.951184e-06    +2.596319e+01    +2.476858e+01    -4.231645e-04    +1.548068e-03    
+2.700000e+01    +1.964470e-03    +4.166197e-07    -1.124133e-04    +2.145839e-06    +2.595815e+01    +2.476483e+01    -6.264441e-04    +1.470015e-03    
+2.725000e+01    +1.768965e-03    +4.014860e-07    +2.384038e-04    +2.070373e-06    +2.595136e+01    +2.475925e+01    -9.375948e-04    +1.336521e-03    
+2.750000e+01    +1.514594e-03    +2.995181e-07    +5.466134e-04    +1.549866e-06    +2.594304e+01    +2.475198e+01    -1.097376e-03    +1.129156e-03    
+2.775000e+01    +1.232280e-03    +1.098614e-07    +7.777495e-04    +5.788486e-07    +2.593418e+01    +2.474392e+01    -1.161133e-03    +7.199331e-04    
+2.800000e+01    +9.452302e-04    -1.193187e-07    +7.495436e-04    -5.964515e-07    +2.592607e+01    +2.473572e+01    -1.135267e-03    -9.455799e-04    
+2.825000e+01    +6.674654e-04    -2.947138e-07    +5.108655e-04    -1.497445e-06    +2.591896e+01    +2.472779e+01    -1.086852e-03    -9.638450e-04    
+2.850000e+01    +4.011450e-04    -3.990381e-07    +2.715012e-04    -2.034891e-06    +2.591217e+01    +2.472018e+01    -1.043712e-03    -9.510697e-04    
+2.875000e+01    +1.474243e-04    -4.383278e-07    +3.711418e-05    -2.239190e-06    +2.590572e+01    +2.471293e+01    -9.860529e-04    -9.240263e-04    
+2.900000e+01    -9.557287e-05    -4.207666e-07    -1.770819e-04    -2.151896e-06    +2.589951e+01    +2.470599e+01    -9.579246e-04    -7.895423e-04    
+2.925000e+01    -3.222861e-04    -3.592557e-07    -3.664232e-04    -1.838797e-06    +2.589369e+01    +2.469951e+01    -8.557816e-04    -7.251883e-04    
+2.950000e+01    -5.235844e-04    -2.687984e-07    -5.297432e-04    -1.376588e-06    +2.588849e+01    +2.469376e+01    -7.546046e-04    -5.813714e-04    
+2.975000e+01    -6.963717e-04    -1.723301e-07    -5.433883e-04    -8.828806e-07    +2.588360e+01    +2.468882e+01    -6.276939e-04    +4.722102e-04    
+3.000000e+01    -8.255821e-04    -1.098900e-07    -4.073972e-04    -5.631491e-07    +2.587945e+01    +2.468512e+01    -4.059894e-04    +6.157187e-04    
+3.025000e+01    -8.813917e-04    -9.032723e-08    -2.488595e-04    -4.629730e-07    +2.587731e+01    +2.468353e+01    -4.048739e-05    +6.525829e-04    
+3.050000e+01    -8.856017e-04    -8.946146e-08    -8.747825e-05    -4.585432e-07    +2.587664e+01    +2.468341e+01    +6.807244e-06    +6.384671e-04    
+3.075000e+01    -8.332197e-04    -8.866116e-08    +6.649655e-05    -4.543157e-07    +2.587760e+01    +2.468491e+01    +4.122482e-04    +5.933312e-04    
