# git commit hash:    d0a187f 
time    costs    
#
+0.000000e+00    +3.966301e+09    
+2.500000e-01    +3.854420e+09    
+5.000000e-01    +3.742537e+09    
+7.500000e-01    +3.630563e+09    
+1.000000e+00    +3.518443e+09    
+1.250000e+00    +3.405830e+09    
+1.500000e+00    +3.292301e+09    
+1.750000e+00    +3.177451e+09    
+2.000000e+00    +3.061063e+09    
+2.250000e+00    +2.943105e+09    
+2.500000e+00    +2.823759e+09    
+2.750000e+00    +2.703386e+09    
+3.000000e+00    +2.582494e+09    
+3.250000e+00    +2.461718e+09    
+3.500000e+00    +2.341788e+09    
+3.750000e+00    +2.223375e+09    
+4.000000e+00    +2.107254e+09    
+4.250000e+00    +1.994124e+09    
+4.500000e+00    +1.884624e+09    
+4.750000e+00    +1.779334e+09    
+5.000000e+00    +1.678792e+09    
+5.250000e+00    +1.583543e+09    
+5.500000e+00    +1.494204e+09    
+5.750000e+00    +1.411424e+09    
+6.000000e+00    +1.335859e+09    
+6.250000e+00    +1.267807e+09    
+6.500000e+00    +1.207127e+09    
+6.750000e+00    +1.153355e+09    
+7.000000e+00    +1.105847e+09    
+7.250000e+00    +1.063884e+09    
+7.500000e+00    +1.026732e+09    
+7.750000e+00    +9.936718e+08    
+8.000000e+00    +9.640152e+08    
+8.250000e+00    +9.371131e+08    
+8.500000e+00    +9.123613e+08    
+8.750000e+00    +8.892055e+08    
+9.000000e+00    +8.671436e+08    
+9.250000e+00    +8.457284e+08    
+9.500000e+00    +8.245716e+08    
+9.750000e+00    +8.033450e+08    
+1.000000e+01    +7.817832e+08    
+1.025000e+01    +7.596834e+08    
+1.050000e+01    +7.369054e+08    
+1.075000e+01    +7.133692e+08    
+1.100000e+01    +6.890521e+08    
+1.125000e+01    +6.639832e+08    
+1.150000e+01    +6.382372e+08    
+1.175000e+01    +6.119271e+08    
+1.200000e+01    +5.851985e+08    
+1.225000e+01    +5.582199e+08    
+1.250000e+01    +5.312121e+08    
+1.275000e+01    +5.043932e+08    
+1.300000e+01    +4.779658e+08    
+1.325000e+01    +4.521397e+08    
+1.350000e+01    +4.271156e+08    
+1.375000e+01    +4.030732e+08    
+1.400000e+01    +3.801629e+08    
+1.425000e+01    +3.584987e+08    
+1.450000e+01    +3.381536e+08    
+1.475000e+01    +3.191566e+08    
+1.500000e+01    +3.014900e+08    
+1.525000e+01    +2.850887e+08    
+1.550000e+01    +2.698197e+08    
+1.575000e+01    +2.555126e+08    
+1.600000e+01    +2.420043e+08    
+1.625000e+01    +2.291487e+08    
+1.650000e+01    +2.168186e+08    
+1.675000e+01    +2.049080e+08    
+1.700000e+01    +1.933328e+08    
+1.725000e+01    +1.820305e+08    
+1.750000e+01    +1.709602e+08    
+1.775000e+01    +1.601016e+08    
+1.800000e+01    +1.494540e+08    
+1.825000e+01    +1.390346e+08    
+1.850000e+01    +1.288767e+08    
+1.875000e+01    +1.190265e+08    
+1.900000e+01    +1.095287e+08    
+1.925000e+01    +1.004119e+08    
+1.950000e+01    +9.168872e+07    
+1.975000e+01    +8.335734e+07    
+2.000000e+01    +7.540642e+07    
+2.025000e+01    +6.781959e+07    
+2.050000e+01    +6.058214e+07    
+2.075000e+01    +5.368958e+07    
+2.100000e+01    +4.714649e+07    
+2.125000e+01    +4.096223e+07    
+2.150000e+01    +3.514889e+07    
+2.175000e+01    +2.972211e+07    
+2.200000e+01    +2.470663e+07    
+2.225000e+01    +2.014656e+07    
+2.250000e+01    +1.611125e+07    
+2.275000e+01    +1.275038e+07    
+2.300000e+01    +1.009650e+07    
+2.325000e+01    +8.113316e+06    
+2.350000e+01    +6.682421e+06    
+2.375000e+01    +5.680208e+06    
+2.400000e+01    +4.992754e+06    
+2.425000e+01    +4.525095e+06    
+2.450000e+01    +4.202310e+06    
+2.475000e+01    +3.967901e+06    
+2.500000e+01    +3.783243e+06    
+2.525000e+01    +3.622506e+06    
+2.550000e+01    +3.465109e+06    
+2.575000e+01    +3.292253e+06    
+2.600000e+01    +3.077006e+06    
+2.625000e+01    +2.830165e+06    
+2.650000e+01    +2.576170e+06    
+2.675000e+01    +2.320420e+06    
+2.700000e+01    +2.066533e+06    
+2.725000e+01    +1.823671e+06    
+2.750000e+01    +1.581227e+06    
+2.775000e+01    +1.347123e+06    
+2.800000e+01    +1.132730e+06    
+2.825000e+01    +9.442705e+05    
+2.850000e+01    +7.815839e+05    
+2.875000e+01    +6.424492e+05    
+2.900000e+01    +5.239727e+05    
+2.925000e+01    +4.229984e+05    
+2.950000e+01    +3.364064e+05    
+2.975000e+01    +2.622805e+05    
+3.000000e+01    +1.994215e+05    
+3.025000e+01    +1.467159e+05    
+3.050000e+01    +1.040379e+05    
+3.075000e+01    +7.161152e+04    
+3.100000e+01    +4.882298e+04    
+3.125000e+01    +3.366747e+04    
+3.150000e+01    +2.386738e+04    
+3.175000e+01    +1.759162e+04    
+3.200000e+01    +1.359408e+04    
+3.225000e+01    +1.106972e+04    
+3.250000e+01    +9.500883e+03    
+3.275000e+01    +8.543188e+03    
+3.300000e+01    +7.952486e+03    
+3.325000e+01    +7.545194e+03    
+3.350000e+01    +7.182906e+03    
+3.375000e+01    +6.770605e+03    
+3.400000e+01    +6.257681e+03    
+3.425000e+01    +5.632500e+03    
+3.450000e+01    +4.907320e+03    
+3.475000e+01    +4.113102e+03    
+3.500000e+01    +3.302373e+03    
+3.525000e+01    +2.535594e+03    
+3.550000e+01    +1.863457e+03    
+3.575000e+01    +1.315559e+03    
+3.600000e+01    +8.970600e+02    
+3.625000e+01    +5.931471e+02    
+3.650000e+01    +3.837519e+02    
+3.675000e+01    +2.454944e+02    
+3.700000e+01    +1.517631e+02    
+3.725000e+01    +8.454120e+01    
+3.750000e+01    +4.235125e+01    
+3.775000e+01    +1.863459e+01    
+3.800000e+01    +7.628848e+00    
+3.825000e+01    +3.387253e+00    
+3.850000e+01    +1.786911e+00    
+3.875000e+01    +1.190404e+00    
