# git commit hash:    d0a187f 
time    tau_l    tau_gama    
#
+0.000000e+00    +5.000010e-03    +5.000010e-03    
+2.500000e-01    +5.000010e-03    +5.000010e-03    
+5.000000e-01    +5.000010e-03    +5.000010e-03    
+7.500000e-01    +5.000010e-03    +5.000010e-03    
+1.000000e+00    +5.000010e-03    +5.000010e-03    
+1.250000e+00    +5.000010e-03    -4.670800e-03    
+1.500000e+00    +5.000010e-03    -5.000010e-03    
+1.750000e+00    +5.000010e-03    -5.000010e-03    
+2.000000e+00    +5.000010e-03    -5.000010e-03    
+2.250000e+00    +5.000010e-03    -5.000010e-03    
+2.500000e+00    +5.000010e-03    -5.000010e-03    
+2.750000e+00    +5.000010e-03    -5.000010e-03    
+3.000000e+00    +5.000010e-03    -5.000010e-03    
+3.250000e+00    +5.000010e-03    -5.000010e-03    
+3.500000e+00    +5.000010e-03    -5.000010e-03    
+3.750000e+00    +5.000010e-03    -5.000010e-03    
+4.000000e+00    +5.000010e-03    -5.000010e-03    
+4.250000e+00    +5.000010e-03    -5.000010e-03    
+4.500000e+00    +5.000010e-03    -5.000010e-03    
+4.750000e+00    +5.000010e-03    -5.000010e-03    
+5.000000e+00    +5.000010e-03    -5.000010e-03    
+5.250000e+00    -4.570296e-03    -5.000010e-03    
+5.500000e+00    -5.000010e-03    +2.530814e-03    
+5.750000e+00    -5.000010e-03    +5.000010e-03    
+6.000000e+00    -5.000010e-03    +4.998958e-03    
+6.250000e+00    -5.000010e-03    +4.999455e-03    
+6.500000e+00    -5.000010e-03    +5.000010e-03    
+6.750000e+00    -5.000010e-03    +5.000010e-03    
+7.000000e+00    -5.000010e-03    +5.000010e-03    
+7.250000e+00    -5.000010e-03    +5.000010e-03    
+7.500000e+00    -5.000010e-03    +5.000010e-03    
+7.750000e+00    -5.000010e-03    +5.000010e-03    
+8.000000e+00    -5.000010e-03    +5.000010e-03    
+8.250000e+00    -5.000010e-03    +5.000010e-03    
+8.500000e+00    -5.000010e-03    +5.000010e-03    
+8.750000e+00    -5.000010e-03    +5.000010e-03    
+9.000000e+00    -5.000010e-03    +5.000010e-03    
+9.250000e+00    -5.000010e-03    +5.000010e-03    
+9.500000e+00    -5.000010e-03    +5.000010e-03    
+9.750000e+00    -5.000010e-03    +5.000010e-03    
+1.000000e+01    -5.000010e-03    +5.000010e-03    
+1.025000e+01    -5.000010e-03    +5.000010e-03    
+1.050000e+01    -5.000010e-03    +5.000010e-03    
+1.075000e+01    -5.000010e-03    +5.000010e-03    
+1.100000e+01    -5.000010e-03    +5.000010e-03    
+1.125000e+01    -5.000010e-03    +5.000010e-03    
+1.150000e+01    -5.000010e-03    +5.000010e-03    
+1.175000e+01    -5.000010e-03    +5.000010e-03    
+1.200000e+01    -5.000010e-03    -6.762246e-04    
+1.225000e+01    -5.000010e-03    -5.000010e-03    
+1.250000e+01    -5.000010e-03    -5.000010e-03    
+1.275000e+01    -5.000010e-03    -5.000010e-03    
+1.300000e+01    -5.000010e-03    -5.000010e-03    
+1.325000e+01    -5.000010e-03    -5.000010e-03    
+1.350000e+01    -5.000010e-03    -5.000010e-03    
+1.375000e+01    -5.000010e-03    -5.000010e-03    
+1.400000e+01    -5.000010e-03    -5.000010e-03    
+1.425000e+01    -5.000010e-03    -5.000010e-03    
+1.450000e+01    -5.000010e-03    -5.000010e-03    
+1.475000e+01    -5.000010e-03    -5.000010e-03    
+1.500000e+01    -1.958904e-03    -5.000010e-03    
+1.525000e+01    -9.841891e-04    -5.000010e-03    
