# git commit hash:    d0a187f 
time    x    y    theta    gamma    phi_l    phi_1_t    v    gamma_dot    
#
+0.000000e+00    -6.000000e-01    -7.500000e-01    +0.000000e+00    +0.000000e+00    +0.000000e+00    +0.000000e+00    +0.000000e+00    +0.000000e+00    
+2.500000e-01    -5.980687e-01    -7.499849e-01    +1.560690e-02    +3.118107e-02    +5.518319e-02    +6.212818e-02    +1.532111e-02    +2.447745e-01    
+5.000000e-01    -5.924375e-01    -7.497732e-01    +5.882655e-02    +1.170667e-01    +2.162012e-01    +3.141473e-01    +2.961370e-02    +4.257887e-01    
+7.500000e-01    -5.833073e-01    -7.489493e-01    +1.190901e-01    +2.350006e-01    +4.781637e-01    +8.735411e-01    +4.387022e-02    +5.017695e-01    
+1.000000e+00    -5.705994e-01    -7.469765e-01    +1.861931e-01    +3.623647e-01    +8.456621e-01    +1.788755e+00    +5.922986e-02    +5.102392e-01    
+1.250000e+00    -5.541764e-01    -7.432660e-01    +2.556451e-01    +4.880389e-01    +1.326815e+00    +3.045272e+00    +7.563982e-02    +4.928504e-01    
+1.500000e+00    -5.335141e-01    -7.370866e-01    +3.214984e-01    +5.989714e-01    +1.943113e+00    +4.544982e+00    +9.690890e-02    +3.982314e-01    
+1.750000e+00    -5.082777e-01    -7.278077e-01    +3.801636e-01    +6.883186e-01    +2.711455e+00    +6.164611e+00    +1.182094e-01    +3.187575e-01    
+2.000000e+00    -4.787164e-01    -7.150392e-01    +4.329427e-01    +7.592284e-01    +3.631592e+00    +7.851797e+00    +1.394150e-01    +2.499161e-01    
+2.250000e+00    -4.450827e-01    -6.984708e-01    +4.805529e-01    +8.138420e-01    +4.702924e+00    +9.570549e+00    +1.605474e-01    +1.879030e-01    
+2.500000e+00    -4.076058e-01    -6.778626e-01    +5.232817e-01    +8.535489e-01    +5.925000e+00    +1.129499e+01    +1.816265e-01    +1.303414e-01    
+2.750000e+00    -3.664794e-01    -6.530441e-01    +5.611360e-01    +8.792449e-01    +7.297503e+00    +1.300705e+01    +2.026697e-01    +7.557888e-02    
+3.000000e+00    -3.218501e-01    -6.239170e-01    +5.939239e-01    +8.914651e-01    +8.820232e+00    +1.469530e+01    +2.236925e-01    +2.234312e-02    
+3.250000e+00    -2.738036e-01    -5.904589e-01    +6.212989e-01    +8.904529e-01    +1.049310e+01    +1.635435e+01    +2.447093e-01    -3.045397e-02    
+3.500000e+00    -2.223501e-01    -5.527300e-01    +6.427797e-01    +8.761884e-01    +1.231610e+01    +1.798466e+01    +2.657343e-01    -8.385038e-02    
+3.750000e+00    -1.674089e-01    -5.108827e-01    +6.577476e-01    +8.483861e-01    +1.428935e+01    +1.959250e+01    +2.867819e-01    -1.389528e-01    
+4.000000e+00    -1.087926e-01    -4.651761e-01    +6.654218e-01    +8.064613e-01    +1.641307e+01    +2.119028e+01    +3.078680e-01    -1.970769e-01    
+4.250000e+00    -4.618912e-02    -4.159998e-01    +6.648034e-01    +7.494533e-01    +1.868760e+01    +2.279717e+01    +3.290103e-01    -2.599581e-01    
+4.500000e+00    +2.085723e-02    -3.639109e-01    +6.545714e-01    +6.758785e-01    +2.111340e+01    +2.444041e+01    +3.502290e-01    -3.301329e-01    
+4.750000e+00    +9.296796e-02    -3.096956e-01    +6.328892e-01    +5.834437e-01    +2.369111e+01    +2.615787e+01    +3.715458e-01    -4.117322e-01    
+5.000000e+00    +1.709550e-01    -2.544756e-01    +5.970158e-01    +4.684456e-01    +2.642147e+01    +2.800345e+01    +3.929722e-01    -5.123924e-01    
+5.250000e+00    +2.558446e-01    -1.999078e-01    +5.424179e-01    +3.243471e-01    +2.930512e+01    +3.005987e+01    +4.144362e-01    -6.485769e-01    
+5.500000e+00    +3.448803e-01    -1.503565e-01    +4.708447e-01    +1.588508e-01    +3.221703e+01    +3.239746e+01    +4.011383e-01    -6.895757e-01    
+5.750000e+00    +4.338596e-01    -1.091129e-01    +3.989833e-01    +7.576480e-03    +3.501973e+01    +3.502014e+01    +3.840984e-01    -5.264346e-01    
+6.000000e+00    +5.216258e-01    -7.503591e-02    +3.448188e-01    -9.613742e-02    +3.771005e+01    +3.777609e+01    +3.694770e-01    -3.218644e-01    
+6.250000e+00    +6.075035e-01    -4.612377e-02    +3.063189e-01    -1.609993e-01    +4.029917e+01    +4.048452e+01    +3.554589e-01    -2.080608e-01    
+6.500000e+00    +6.909251e-01    -2.113925e-02    +2.765746e-01    -2.040768e-01    +4.278734e+01    +4.308534e+01    +3.411716e-01    -1.420249e-01    
+6.750000e+00    +7.715020e-01    +6.519132e-04    +2.522124e-01    -2.340165e-01    +4.517230e+01    +4.556437e+01    +3.265697e-01    -1.004407e-01    
+7.000000e+00    +8.489724e-01    +1.974864e-02    +2.315124e-01    -2.554274e-01    +4.745204e+01    +4.791933e+01    +3.117214e-01    -7.258291e-02    
+7.250000e+00    +9.231533e-01    +3.652313e-02    +2.135108e-01    -2.709964e-01    +4.962503e+01    +5.015121e+01    +2.966921e-01    -5.306127e-02    
+7.500000e+00    +9.939122e-01    +5.127072e-02    +1.976245e-01    -2.824013e-01    +5.169018e+01    +5.226173e+01    +2.815311e-01    -3.889573e-02    
+7.750000e+00    +1.061150e+00    +6.423582e-02    +1.834825e-01    -2.907400e-01    +5.364668e+01    +5.425260e+01    +2.662748e-01    -2.829865e-02    
+8.000000e+00    +1.124793e+00    +7.562670e-02    +1.708415e-01    -2.967513e-01    +5.549395e+01    +5.612528e+01    +2.509497e-01    -2.012162e-02    
+8.250000e+00    +1.184782e+00    +8.562459e-02    +1.595424e-01    -3.009365e-01    +5.723156e+01    +5.788089e+01    +2.355762e-01    -1.358004e-02    
+8.500000e+00    +1.241072e+00    +9.438956e-02    +1.494851e-01    -3.036298e-01    +5.885924e+01    +5.952030e+01    +2.201703e-01    -8.103768e-03    
+8.750000e+00    +1.293629e+00    +1.020645e-01    +1.406156e-01    -3.050400e-01    +6.037681e+01    +6.104404e+01    +2.047452e-01    -3.248828e-03    
+9.000000e+00    +1.342427e+00    +1.087780e-01    +1.329187e-01    -3.052746e-01    +6.178416e+01    +6.245242e+01    +1.893123e-01    +1.359983e-03    
+9.250000e+00    +1.387445e+00    +1.146458e-01    +1.264155e-01    -3.043514e-01    +6.308128e+01    +6.374549e+01    +1.738826e-01    +6.071620e-03    
+9.500000e+00    +1.428671e+00    +1.197725e-01    +1.211652e-01    -3.022004e-01    +6.426823e+01    +6.492305e+01    +1.584674e-01    +1.124594e-02    
+9.750000e+00    +1.466096e+00    +1.242523e-01    +1.172701e-01    -2.986560e-01    +6.534516e+01    +6.598465e+01    +1.430789e-01    +1.729304e-02    
+1.000000e+01    +1.499719e+00    +1.281690e-01    +1.148855e-01    -2.934391e-01    +6.631231e+01    +6.692958e+01    +1.277320e-01    +2.472320e-02    
+1.025000e+01    +1.529543e+00    +1.315963e-01    +1.142368e-01    -2.861230e-01    +6.717004e+01    +6.775681e+01    +1.124448e-01    +3.421995e-02    
+1.050000e+01    +1.555580e+00    +1.345968e-01    +1.156472e-01    -2.760769e-01    +6.791886e+01    +6.846502e+01    +9.724120e-02    +4.675937e-02    
+1.075000e+01    +1.577847e+00    +1.372213e-01    +1.195842e-01    -2.623687e-01    +6.855948e+01    +6.905259e+01    +8.215311e-02    +6.382249e-02    
+1.100000e+01    +1.596375e+00    +1.395069e-01    +1.267420e-01    -2.435935e-01    +6.909286e+01    +6.951775e+01    +6.722404e-02    +8.780723e-02    
+1.125000e+01    +1.611207e+00    +1.414734e-01    +1.381968e-01    -2.175491e-01    +6.952034e+01    +6.985906e+01    +5.251283e-02    +1.229009e-01    
+1.150000e+01    +1.622405e+00    +1.431188e-01    +1.557278e-01    -1.805723e-01    +6.984373e+01    +7.007695e+01    +3.809102e-02    +1.771135e-01    
+1.175000e+01    +1.630051e+00    +1.444089e-01    +1.825437e-01    -1.260439e-01    +7.006528e+01    +7.017884e+01    +2.399159e-02    +2.673538e-01    
+1.200000e+01    +1.634210e+00    +1.452481e-01    +2.249694e-01    -4.096001e-02    +7.018650e+01    +7.019848e+01    +9.848440e-03    +4.295041e-01    
+1.225000e+01    +1.634702e+00    +1.453572e-01    +2.762368e-01    +6.157727e-02    +7.020091e+01    +7.022799e+01    -5.782603e-03    +4.038710e-01    
+1.250000e+01    +1.631641e+00    +1.444044e-01    +3.168641e-01    +1.429687e-01    +7.010929e+01    +7.025541e+01    -1.982979e-02    +2.623067e-01    
+1.275000e+01    +1.625284e+00    +1.422095e-01    +3.440691e-01    +1.981487e-01    +6.991715e+01    +7.019806e+01    -3.403321e-02    +1.866841e-01    
+1.300000e+01    +1.615603e+00    +1.386215e-01    +3.636311e-01    +2.390665e-01    +6.962214e+01    +7.003135e+01    -4.863190e-02    +1.447025e-01    
+1.325000e+01    +1.602540e+00    +1.335288e-01    +3.785945e-01    +2.720677e-01    +6.922156e+01    +6.975192e+01    -6.358631e-02    +1.217680e-01    
+1.350000e+01    +1.586046e+00    +1.268436e-01    +3.907680e-01    +3.009610e-01    +6.871305e+01    +6.936249e+01    -7.884177e-02    +1.110610e-01    
+1.375000e+01    +1.566078e+00    +1.184882e-01    +4.013549e-01    +3.283230e-01    +6.809462e+01    +6.886807e+01    -9.436217e-02    +1.091001e-01    
+1.400000e+01    +1.542604e+00    +1.083845e-01    +4.112267e-01    +3.560762e-01    +6.736444e+01    +6.827491e+01    -1.101292e-01    +1.139440e-01    
+1.425000e+01    +1.515597e+00    +9.644584e-02    +4.210498e-01    +3.857606e-01    +6.652077e+01    +6.759037e+01    -1.261373e-01    +1.243856e-01    
+1.450000e+01    +1.485039e+00    +8.257019e-02    +4.313425e-01    +4.186621e-01    +6.556190e+01    +6.682313e+01    -1.423884e-01    +1.395481e-01    
+1.475000e+01    +1.450923e+00    +6.663624e-02    +4.424975e-01    +4.558647e-01    +6.448606e+01    +6.598347e+01    -1.588880e-01    +1.586711e-01    
+1.500000e+01    +1.413250e+00    +4.850122e-02    +4.547877e-01    +4.982654e-01    +6.329146e+01    +6.508346e+01    -1.756411e-01    +1.810067e-01    
+1.525000e+01    +1.373327e+00    +2.868401e-02    +4.661774e-01    +5.417015e-01    +6.201802e+01    +6.414016e+01    -1.809526e-01    +1.671858e-01    
+1.550000e+01    +1.332817e+00    +8.080643e-03    +4.741794e-01    +5.806873e-01    +6.071948e+01    +6.316266e+01    -1.826581e-01    +1.453079e-01    
+1.575000e+01    +1.292075e+00    -1.295747e-02    +4.785591e-01    +6.145068e-01    +5.940939e+01    +6.215020e+01    -1.841848e-01    +1.256988e-01    
+1.600000e+01    +1.251143e+00    -3.423209e-02    +4.795205e-01    +6.434038e-01    +5.809136e+01    +6.110073e+01    -1.848766e-01    +1.058279e-01    
+1.625000e+01    +1.210085e+00    -5.553497e-02    +4.771776e-01    +6.674140e-01    +5.676979e+01    +6.001238e+01    -1.851741e-01    +8.652005e-02    
+1.650000e+01    +1.168913e+00    -7.669227e-02    +4.716835e-01    +6.866558e-01    +5.544721e+01    +5.888337e+01    -1.851538e-01    +6.761427e-02    
+1.675000e+01    +1.127619e+00    -9.754816e-02    +4.631872e-01    +7.012344e-01    +5.412543e+01    +5.771220e+01    -1.849526e-01    +4.915732e-02    
+1.700000e+01    +1.086175e+00    -1.179651e-01    +4.518389e-01    +7.112525e-01    +5.280543e+01    +5.649769e+01    -1.846508e-01    +3.108177e-02    
+1.725000e+01    +1.044548e+00    -1.378188e-01    +4.377825e-01    +7.167929e-01    +5.148773e+01    +5.523904e+01    -1.843079e-01    +1.329267e-02    
+1.750000e+01    +1.002700e+00    -1.569949e-01    +4.211516e-01    +7.179083e-01    +5.017251e+01    +5.393576e+01    -1.839542e-01    -4.359722e-03    
+1.775000e+01    +9.605980e-01    -1.753846e-01    +4.020652e-01    +7.146079e-01    +4.885982e+01    +5.258778e+01    -1.835973e-01    -2.207339e-02    
+1.800000e+01    +9.182154e-01    -1.928826e-01    +3.806229e-01    +7.068463e-01    +4.754972e+01    +5.119538e+01    -1.832284e-01    -4.009185e-02    
+1.825000e+01    +8.755369e-01    -2.093847e-01    +3.569026e-01    +6.945146e-01    +4.624232e+01    +4.975924e+01    -1.828370e-01    -5.868108e-02    
+1.850000e+01    +8.325562e-01    -2.247880e-01    +3.309598e-01    +6.774376e-01    +4.493778e+01    +4.828047e+01    -1.824266e-01    -7.810928e-02    
+1.875000e+01    +7.892612e-01    -2.389955e-01    +3.028392e-01    +6.554023e-01    +4.363584e+01    +4.676061e+01    -1.821084e-01    -9.841548e-02    
+1.900000e+01    +7.456068e-01    -2.519225e-01    +2.726021e-01    +6.282221e-01    +4.233499e+01    +4.520162e+01    -1.821192e-01    -1.193499e-01    
+1.925000e+01    +7.014986e-01    -2.634971e-01    +2.403369e-01    +5.957686e-01    +4.103203e+01    +4.360572e+01    -1.826943e-01    -1.407034e-01    
+1.950000e+01    +6.567675e-01    -2.736590e-01    +2.061862e-01    +5.580359e-01    +3.972137e+01    +4.197516e+01    -1.842707e-01    -1.617088e-01    
+1.975000e+01    +6.112120e-01    -2.823417e-01    +1.702785e-01    +5.149931e-01    +3.839628e+01    +4.031201e+01    -1.867282e-01    -1.833630e-01    
+2.000000e+01    +5.643676e-01    -2.895010e-01    +1.330731e-01    +4.673464e-01    +3.704225e+01    +3.861675e+01    -1.923663e-01    -1.987020e-01    
+2.025000e+01    +5.145330e-01    -2.952337e-01    +9.701214e-02    +4.202236e-01    +3.560894e+01    +3.687967e+01    -2.089088e-01    -1.789958e-01    
+2.050000e+01    +4.604469e-01    -2.995691e-01    +6.378979e-02    +3.774298e-01    +3.405859e+01    +3.508222e+01    -2.251340e-01    -1.643227e-01    
+2.075000e+01    +4.022386e-01    -3.023598e-01    +3.265669e-02    +3.375023e-01    +3.239352e+01    +3.321104e+01    -2.410306e-01    -1.563872e-01    
+2.100000e+01    +3.400414e-01    -3.034459e-01    +2.675981e-03    +2.984851e-01    +3.061612e+01    +3.125488e+01    -2.565812e-01    -1.575071e-01    
+2.125000e+01    +2.739987e-01    -3.026254e-01    -2.736546e-02    +2.576967e-01    +2.872897e+01    +2.920463e+01    -2.717551e-01    -1.713457e-01    
+2.150000e+01    +2.042748e-01    -2.996136e-01    -5.916896e-02    +2.112100e-01    +2.673492e+01    +2.705415e+01    -2.865045e-01    -2.046335e-01    
+2.175000e+01    +1.310745e-01    -2.939718e-01    -9.544454e-02    +1.526300e-01    +2.463716e+01    +2.480372e+01    -3.007911e-01    -2.714734e-01    
+2.200000e+01    +5.466135e-02    -2.849598e-01    -1.412095e-01    +7.013575e-02    +2.243861e+01    +2.247375e+01    -3.148212e-01    -4.033574e-01    
+2.225000e+01    -2.476660e-02    -2.713285e-01    -2.005954e-01    -4.746880e-02    +2.013572e+01    +2.015182e+01    -3.302771e-01    -5.535710e-01    
+2.250000e+01    -1.040499e-01    -2.525349e-01    -2.637100e-01    -1.826162e-01    +1.780733e+01    +1.804586e+01    -3.215417e-01    -5.227345e-01    
+2.275000e+01    -1.790891e-01    -2.300097e-01    -3.187740e-01    -3.101605e-01    +1.556856e+01    +1.625847e+01    -3.051194e-01    -4.928033e-01    
+2.300000e+01    -2.484652e-01    -2.054421e-01    -3.588957e-01    -4.140351e-01    +1.346562e+01    +1.469894e+01    -2.836780e-01    -3.448343e-01    
+2.325000e+01    -3.120574e-01    -1.807086e-01    -3.805322e-01    -4.849390e-01    +1.151608e+01    +1.321256e+01    -2.621991e-01    -2.257110e-01    
+2.350000e+01    -3.703243e-01    -1.570995e-01    -3.872161e-01    -5.280837e-01    +9.719839e+00    +1.173537e+01    -2.407536e-01    -1.210988e-01    
+2.375000e+01    -4.240895e-01    -1.352057e-01    -3.856795e-01    -5.551797e-01    +8.061210e+00    +1.029168e+01    -2.236400e-01    -9.551471e-02    
+2.400000e+01    -4.739385e-01    -1.150802e-01    -3.812200e-01    -5.757819e-01    +6.525256e+00    +8.926743e+00    -2.064111e-01    -6.921388e-02    
+2.425000e+01    -5.198909e-01    -9.683895e-02    -3.739936e-01    -5.897534e-01    +5.112667e+00    +7.633878e+00    -1.891035e-01    -4.250984e-02    
+2.450000e+01    -5.619557e-01    -8.055413e-02    -3.641640e-01    -5.970199e-01    +3.823889e+00    +6.408571e+00    -1.717493e-01    -1.560052e-02    
+2.475000e+01    -5.996827e-01    -6.647842e-02    -3.479878e-01    -5.900317e-01    +2.673384e+00    +5.197011e+00    -1.503906e-01    +7.170695e-02    
+2.500000e+01    -6.326542e-01    -5.496162e-02    -3.217673e-01    -5.609011e-01    +1.675499e+00    +3.952805e+00    -1.290120e-01    +1.622256e-01    
+2.525000e+01    -6.608643e-01    -4.608128e-02    -2.853251e-01    -5.082585e-01    +8.304557e-01    +2.695856e+00    -1.075917e-01    +2.607494e-01    
+2.550000e+01    -6.842420e-01    -3.977703e-02    -2.377336e-01    -4.292553e-01    +1.385972e-01    +1.464971e+00    -8.612169e-02    +3.747289e-01    
+2.575000e+01    -7.026717e-01    -3.584999e-02    -1.767199e-01    -3.184642e-01    -3.998693e-01    +3.276373e-01    -6.466794e-02    +5.183974e-01    
+2.600000e+01    -7.165929e-01    -3.383827e-02    -1.065350e-01    -1.839053e-01    -8.018329e-01    -5.599118e-01    -4.808445e-02    +5.536857e-01    
+2.625000e+01    -7.266264e-01    -3.309973e-02    -3.643026e-02    -4.540587e-02    -1.089338e+00    -1.074610e+00    -3.256166e-02    +5.391431e-01    
+2.650000e+01    -7.328067e-01    -3.306178e-02    +3.087360e-02    +8.922842e-02    -1.265953e+00    -1.209065e+00    -1.681222e-02    +5.216642e-01    
+2.675000e+01    -7.350133e-01    -3.317977e-02    +9.497727e-02    +2.169375e-01    -1.329098e+00    -9.922804e-01    -6.597756e-04    +4.913324e-01    
+2.700000e+01    -7.326317e-01    -3.286462e-02    +1.463502e-01    +3.171544e-01    -1.260453e+00    -5.389436e-01    +1.998348e-02    +3.177989e-01    
+2.725000e+01    -7.250651e-01    -3.159825e-02    +1.785267e-01    +3.769236e-01    -1.041249e+00    -2.038865e-02    +4.141117e-02    +1.643749e-01    
+2.750000e+01    -7.122575e-01    -2.916335e-02    +1.934291e-01    +4.006262e-01    -6.687588e-01    +4.854294e-01    +6.288845e-02    +2.662076e-02    
+2.775000e+01    -6.941953e-01    -2.561509e-02    +1.918366e-01    +3.904245e-01    -1.428345e-01    +9.529467e-01    +8.436957e-02    -1.088120e-01    
+2.800000e+01    -6.713432e-01    -2.131783e-02    +1.795064e-01    +3.581091e-01    +5.215323e-01    +1.442485e+00    +1.016183e-01    -1.494531e-01    
+2.825000e+01    -6.443678e-01    -1.663461e-02    +1.646000e-01    +3.200494e-01    +1.303794e+00    +2.038592e+00    +1.173591e-01    -1.535874e-01    
+2.850000e+01    -6.134817e-01    -1.174347e-02    +1.499570e-01    +2.821649e-01    +2.197257e+00    +2.767846e+00    +1.327507e-01    -1.475209e-01    
+2.875000e+01    -5.787662e-01    -6.740708e-03    +1.369231e-01    +2.473981e-01    +3.199383e+00    +3.637686e+00    +1.477873e-01    -1.281840e-01    
+2.900000e+01    -5.403089e-01    -1.648681e-03    +1.272280e-01    +2.193363e-01    +4.307756e+00    +4.652079e+00    +1.625117e-01    -9.379984e-02    
+2.925000e+01    -4.981929e-01    +3.619641e-03    +1.227383e-01    +2.016358e-01    +5.520451e+00    +5.811352e+00    +1.770155e-01    -4.592500e-02    
+2.950000e+01    -4.518461e-01    +9.123963e-03    +1.100473e-01    +1.677368e-01    +6.853961e+00    +7.055166e+00    +1.962936e-01    -2.271408e-01    
+2.975000e+01    -4.010419e-01    +1.407685e-02    +8.432667e-02    +1.095047e-01    +8.312431e+00    +8.398126e+00    +2.119930e-01    -2.334371e-01    
+3.000000e+01    -3.462339e-01    +1.795957e-02    +5.737851e-02    +5.131393e-02    +9.882344e+00    +9.901155e+00    +2.275319e-01    -2.251527e-01    
+3.025000e+01    -2.874611e-01    +2.052801e-02    +3.028189e-02    -4.219151e-03    +1.156322e+01    +1.156335e+01    +2.431092e-01    -2.118785e-01    
+3.050000e+01    -2.253459e-01    +2.158228e-02    +4.078147e-03    -5.473893e-02    +1.333825e+01    +1.335966e+01    +2.539332e-01    -1.880720e-01    
+3.075000e+01    -1.637673e-01    +2.111947e-02    -1.857848e-02    -9.532486e-02    +1.509773e+01    +1.516266e+01    +2.387085e-01    -1.421745e-01    
